r,z,vgr,u,v,w
112.70166537925832,0.0,0.2817541634481458,0.0,0.2817541634481458,0.0
500.0,0.0,1.25,0.0,1.25,0.0
887.2983346207417,0.0,2.2182458365518545,0.0,2.2182458365518545,0.0
1112.7016653792584,0.0,2.781754163448146,0.0,2.781754163448146,0.0
1500.0,0.0,3.75,0.0,3.75,0.0
1887.2983346207416,0.0,4.718245836551854,0.0,4.718245836551854,0.0
2112.7016653792584,0.0,5.281754163448146,0.0,5.281754163448146,0.0
2500.0,0.0,6.25,0.0,6.25,0.0
2887.2983346207416,0.0,7.218245836551854,0.0,7.218245836551854,0.0
3112.7016653792584,0.0,7.781754163448146,0.0,7.781754163448146,0.0
3500.0,0.0,8.75,0.0,8.75,0.0
3887.2983346207416,0.0,9.718245836551855,0.0,9.718245836551855,0.0
4112.701665379258,0.0,10.281754163448145,0.0,10.281754163448145,0.0
4500.0,0.0,11.25,0.0,11.25,0.0
4887.298334620742,0.0,12.218245836551855,0.0,12.218245836551855,0.0
5112.701665379258,0.0,12.781754163448145,0.0,12.781754163448145,0.0
5500.0,0.0,13.75,0.0,13.75,0.0
5887.298334620742,0.0,14.718245836551855,0.0,14.718245836551855,0.0
6112.701665379258,0.0,15.281754163448145,0.0,15.281754163448145,0.0
6500.0,0.0,16.25,0.0,16.25,0.0
6887.298334620742,0.0,17.218245836551855,0.0,17.218245836551855,0.0
7112.701665379258,0.0,17.781754163448145,0.0,17.781754163448145,0.0
7500.0,0.0,18.75,0.0,18.75,0.0
7887.298334620742,0.0,19.718245836551855,0.0,19.718245836551855,0.0
8112.701665379258,0.0,20.281754163448145,0.0,20.281754163448145,0.0
8500.0,0.0,21.25,0.0,21.25,0.0
8887.298334620742,0.0,22.218245836551855,0.0,22.218245836551855,0.0
9112.701665379258,0.0,22.781754163448145,0.0,22.781754163448145,0.0
9500.0,0.0,23.75,0.0,23.75,0.0
9887.298334620742,0.0,24.718245836551855,0.0,24.718245836551855,0.0
10112.701665379258,0.0,25.281754163448145,0.0,25.281754163448145,0.0
10500.0,0.0,26.25,0.0,26.25,0.0
10887.298334620742,0.0,27.218245836551855,0.0,27.218245836551855,0.0
11112.701665379258,0.0,27.781754163448145,0.0,27.781754163448145,0.0
11500.0,0.0,28.75,0.0,28.75,0.0
11887.298334620742,0.0,29.718245836551855,0.0,29.718245836551855,0.0
12112.701665379258,0.0,30.281754163448145,0.0,30.281754163448145,0.0
12500.0,0.0,31.25,0.0,31.25,0.0
12887.298334620742,0.0,32.21824583655186,0.0,32.21824583655186,0.0
13112.701665379258,0.0,32.78175416344815,0.0,32.78175416344815,0.0
13500.0,0.0,33.75,0.0,33.75,0.0
13887.298334620742,0.0,34.71824583655186,0.0,34.71824583655186,0.0
14112.701665379258,0.0,35.28175416344815,0.0,35.28175416344815,0.0
14500.0,0.0,36.25,0.0,36.25,0.0
14887.298334620742,0.0,37.21824583655186,0.0,37.21824583655186,0.0
15112.701665379258,0.0,37.78175416344815,0.0,37.78175416344815,0.0
15500.0,0.0,38.75,0.0,38.75,0.0
15887.298334620742,0.0,39.71824583655186,0.0,39.71824583655186,0.0
16112.701665379258,0.0,40.28175416344815,0.0,40.28175416344815,0.0
16500.0,0.0,41.25,0.0,41.25,0.0
16887.29833462074,0.0,42.21824583655185,0.0,42.21824583655185,0.0
17112.70166537926,0.0,42.78175416344815,0.0,42.78175416344815,0.0
17500.0,0.0,43.75,0.0,43.75,0.0
17887.29833462074,0.0,44.71824583655185,0.0,44.71824583655185,0.0
18112.70166537926,0.0,45.28175416344815,0.0,45.28175416344815,0.0
18500.0,0.0,46.25,0.0,46.25,0.0
18887.29833462074,0.0,47.21824583655185,0.0,47.21824583655185,0.0
19112.70166537926,0.0,47.78175416344815,0.0,47.78175416344815,0.0
19500.0,0.0,48.75,0.0,48.75,0.0
19887.29833462074,0.0,49.71824583655185,0.0,49.71824583655185,0.0
20112.70166537926,0.0,49.719824647990336,0.0,49.719824647990336,0.0
20500.0,0.0,48.78048780487805,0.0,48.78048780487805,0.0
20887.29833462074,0.0,47.875985873314114,0.0,47.875985873314114,0.0
21112.70166537926,0.0,47.36485248781809,0.0,47.36485248781809,0.0
21500.0,0.0,46.51162790697674,0.0,46.51162790697674,0.0
21887.29833462074,0.0,45.68859914602739,0.0,45.68859914602739,0.0
22112.70166537926,0.0,45.22287756297321,0.0,45.22287756297321,0.0
22500.0,0.0,44.44444444444444,0.0,44.44444444444444,0.0
22887.29833462074,0.0,43.692356580476705,0.0,43.692356580476705,0.0
23112.70166537926,0.0,43.26625309657805,0.0,43.26625309657805,0.0
23500.0,0.0,42.5531914893617,0.0,42.5531914893617,0.0
23887.29833462074,0.0,41.86325242778348,0.0,41.86325242778348,0.0
24112.70166537926,0.0,41.47191857127269,0.0,41.47191857127269,0.0
24500.0,0.0,40.816326530612244,0.0,40.816326530612244,0.0
24887.29833462074,0.0,40.181139252423364,0.0,40.181139252423364,0.0
25112.70166537926,0.0,39.82048659378671,0.0,39.82048659378671,0.0
25500.0,0.0,39.21568627450981,0.0,39.21568627450981,0.0
25887.29833462074,0.0,38.628982718626766,0.0,38.628982718626766,0.0
26112.70166537926,0.0,38.29553957359456,0.0,38.29553957359456,0.0
26500.0,0.0,37.735849056603776,0.0,37.735849056603776,0.0
26887.29833462074,0.0,37.192282673948526,0.0,37.192282673948526,0.0
27112.70166537926,0.0,36.883082045524056,0.0,36.883082045524056,0.0
27500.0,0.0,36.36363636363637,0.0,36.36363636363637,0.0
27887.29833462074,0.0,35.85861878769906,0.0,35.85861878769906,0.0
28112.70166537926,0.0,35.57110988132094,0.0,35.57110988132094,0.0
28500.0,0.0,35.08771929824562,0.0,35.08771929824562,0.0
28887.29833462074,0.0,34.617290561974215,0.0,34.617290561974215,0.0
29112.70166537926,0.0,34.349268284818685,0.0,34.349268284818685,0.0
29500.0,0.0,33.898305084745765,0.0,33.898305084745765,0.0
29887.29833462074,0.0,33.459029611974785,0.0,33.459029611974785,0.0
30112.70166537926,0.0,33.208577932072615,0.0,33.208577932072615,0.0
30500.0,0.0,32.78688524590164,0.0,32.78688524590164,0.0
30887.29833462074,0.0,32.375767837199504,0.0,32.375767837199504,0.0
31112.70166537926,0.0,32.141213924625276,0.0,32.141213924625276,0.0
31500.0,0.0,31.746031746031747,0.0,31.746031746031747,0.0
31887.29833462074,0.0,31.36044921417121,0.0,31.36044921417121,0.0
32112.70166537926,0.0,31.14032604357612,0.0,31.14032604357612,0.0
32500.0,0.0,30.76923076923077,0.0,30.76923076923077,0.0
32887.29833462074,0.0,30.406875925934344,0.0,30.406875925934344,0.0
33112.70166537926,0.0,30.19989157349678,0.0,30.19989157349678,0.0
33500.0,0.0,29.850746268656717,0.0,29.850746268656717,0.0
33887.29833462074,0.0,29.50958173547746,0.0,29.50958173547746,0.0
34112.70166537926,0.0,29.314594012789463,0.0,29.314594012789463,0.0
34500.0,0.0,28.985507246376812,0.0,28.985507246376812,0.0
34887.29833462074,0.0,28.663727136693772,0.0,28.663727136693772,0.0
35112.70166537926,0.0,28.479722509817268,0.0,28.479722509817268,0.0
35500.0,0.0,28.169014084507044,0.0,28.169014084507044,0.0
35887.29833462074,0.0,27.865012035060122,0.0,27.865012035060122,0.0
36112.70166537926,0.0,27.691088007372375,0.0,27.691088007372375,0.0
36500.0,0.0,27.397260273972602,0.0,27.397260273972602,0.0
36887.29833462074,0.0,27.109602631468555,0.0,27.109602631468555,0.0
37112.70166537926,0.0,26.944952944044335,0.0,26.944952944044335,0.0
37500.0,0.0,26.666666666666668,0.0,26.666666666666668,0.0
37887.29833462074,0.0,26.394069885057434,0.0,26.394069885057434,0.0
38112.70166537926,0.0,26.237972022549584,0.0,26.237972022549584,0.0
38500.0,0.0,25.974025974025974,0.0,25.974025974025974,0.0
38887.29833462074,0.0,25.71533747073697,0.0,25.71533747073697,0.0
39112.70166537926,0.0,25.56714206436814,0.0,25.56714206436814,0.0
39500.0,0.0,25.31645569620253,0.0,25.31645569620253,0.0
39887.29833462074,0.0,25.070637565142786,0.0,25.070637565142786,0.0
40112.70166537926,0.0,24.929759365051364,0.0,24.929759365051364,0.0
40500.0,0.0,24.691358024691358,0.0,24.691358024691358,0.0
40887.29833462074,0.0,24.457473120772672,0.0,24.457473120772672,0.0
41112.70166537926,0.0,24.323383273108846,0.0,24.323383273108846,0.0
41500.0,0.0,24.096385542168676,0.0,24.096385542168676,0.0
41887.29833462074,0.0,23.873585544033016,0.0,23.873585544033016,0.0
42112.70166537926,0.0,23.745804957987232,0.0,23.745804957987232,0.0
42500.0,0.0,23.529411764705884,0.0,23.529411764705884,0.0
42887.29833462074,0.0,23.316926895177044,0.0,23.316926895177044,0.0
43112.70166537926,0.0,23.195020524613255,0.0,23.195020524613255,0.0
43500.0,0.0,22.988505747126435,0.0,22.988505747126435,0.0
43887.29833462074,0.0,22.785635888895545,0.0,22.785635888895545,0.0
44112.70166537926,0.0,22.66920778476882,0.0,22.66920778476882,0.0
44500.0,0.0,22.471910112359552,0.0,22.471910112359552,0.0
44887.29833462074,0.0,22.278017102863117,0.0,22.278017102863117,0.0
45112.70166537926,0.0,22.16670611787872,0.0,22.16670611787872,0.0
45500.0,0.0,21.978021978021978,0.0,21.978021978021978,0.0
45887.29833462074,0.0,21.792522904873803,0.0,21.792522904873803,0.0
46112.70166537926,0.0,21.68599895223197,0.0,21.68599895223197,0.0
46500.0,0.0,21.50537634408602,0.0,21.50537634408602,0.0
46887.29833462074,0.0,21.327737692696573,0.0,21.327737692696573,0.0
47112.70166537926,0.0,21.225698477293,0.0,21.225698477293,0.0
47500.0,0.0,21.05263157894737,0.0,21.05263157894737,0.0
47887.29833462074,0.0,20.882364108585286,0.0,20.882364108585286,0.0
48112.70166537926,0.0,20.784532262497656,0.0,20.784532262497656,0.0
48500.0,0.0,20.61855670103093,0.0,20.61855670103093,0.0
48887.29833462074,0.0,20.455210945699275,0.0,20.455210945699275,0.0
49112.70166537926,0.0,20.361331510803943,0.0,20.361331510803943,0.0
49500.0,0.0,20.2020202020202,0.0,20.2020202020202,0.0
49887.29833462074,0.0,20.04518250903198,0.0,20.04518250903198,0.0
50112.70166537926,0.0,19.95502071864662,0.0,19.95502071864662,0.0
50500.0,0.0,19.801980198019802,0.0,19.801980198019802,0.0
50887.29833462074,0.0,19.65126923076713,0.0,19.65126923076713,0.0
51112.70166537926,0.0,19.564608549685435,0.0,19.564608549685435,0.0
51500.0,0.0,19.41747572815534,0.0,19.41747572815534,0.0
51887.29833462074,0.0,19.272539370830383,0.0,19.272539370830383,0.0
52112.70166537926,0.0,19.189179759305084,0.0,19.189179759305084,0.0
52500.0,0.0,19.047619047619047,0.0,19.047619047619047,0.0
52887.29833462074,0.0,18.908131659003395,0.0,18.908131659003395,0.0
53112.70166537926,0.0,18.82788803138281,0.0,18.82788803138281,0.0
53500.0,0.0,18.69158878504673,0.0,18.69158878504673,0.0
53887.29833462074,0.0,18.557248756290576,0.0,18.557248756290576,0.0
54112.70166537926,0.0,18.479949609313067,0.0,18.479949609313067,0.0
54500.0,0.0,18.34862385321101,0.0,18.34862385321101,0.0
54887.29833462074,0.0,18.219151431055945,0.0,18.219151431055945,0.0
55112.70166537926,0.0,18.14463762040867,0.0,18.14463762040867,0.0
55500.0,0.0,18.01801801801802,0.0,18.01801801801802,0.0
55887.29833462074,0.0,17.89315336040364,0.0,17.89315336040364,0.0
56112.70166537926,0.0,17.82127700718046,0.0,17.82127700718046,0.0
56500.0,0.0,17.699115044247787,0.0,17.699115044247787,0.0
56887.29833462074,0.0,17.578616479865687,0.0,17.578616479865687,0.0
