r,vgr,u,v,w
96887.29833462075,10.321270354203591,0.0,10.321270354203591,0.0
97112.70166537925,10.297314180854478,0.0,10.297314180854478,0.0
97500.0,10.256410256410257,0.0,10.256410256410257,0.0
97887.29833462075,10.215830010769848,0.0,10.215830010769848,0.0
98112.70166537925,10.192360245165556,0.0,10.192360245165556,0.0
98500.0,10.152284263959391,0.0,10.152284263959391,0.0
98887.29833462075,10.11252220296423,0.0,10.11252220296423,0.0
99112.70166537925,10.08952418002048,0.0,10.08952418002048,0.0
99500.0,10.050251256281408,0.0,10.050251256281408,0.0
99887.29833462075,10.011282882534445,0.0,10.011282882534445,0.0
100112.70166537925,9.98874252082858,0.0,9.98874252082858,0.0
100500.0,9.950248756218905,0.0,9.950248756218905,0.0
100887.29833462075,9.912050540626256,0.0,9.912050540626256,0.0
101112.70166537925,9.889954313646804,0.0,9.889954313646804,0.0
101500.0,9.852216748768473,0.0,9.852216748768473,0.0
101887.29833462075,9.814766083165496,0.0,9.814766083165496,0.0
102112.70166537925,9.793100992244577,0.0,9.793100992244577,0.0
102500.0,9.75609756097561,0.0,9.75609756097561,0.0
102887.29833462075,9.71937271350732,0.0,9.71937271350732,0.0
103112.70166537925,9.698126262322116,0.0,9.698126262322116,0.0
103500.0,9.66183574879227,0.0,9.66183574879227,0.0
103887.29833462075,9.625815821863057,0.0,9.625815821863057,0.0
104112.70166537925,9.604975992401236,0.0,9.604975992401236,0.0
104500.0,9.569377990430622,0.0,9.569377990430622,0.0
104887.29833462075,9.534042881052303,0.0,9.534042881052303,0.0
105112.70166537925,9.513598110944264,0.0,9.513598110944264,0.0
105500.0,9.47867298578199,0.0,9.47867298578199,0.0
105887.29833462075,9.444003348162124,0.0,9.444003348162124,0.0
106112.70166537925,9.423942509290233,0.0,9.423942509290233,0.0
106500.0,9.389671361502348,0.0,9.389671361502348,0.0
106887.29833462075,9.35564857172651,0.0,9.35564857172651,0.0
107112.70166537925,9.335960950028188,0.0,9.335960950028188,0.0
107500.0,9.30232558139535,0.0,9.30232558139535,0.0
107887.29833462075,9.268931704067917,0.0,9.268931704067917,0.0
108112.70166537925,9.249606980455548,0.0,9.249606980455548,0.0
108500.0,9.216589861751151,0.0,9.216589861751151,0.0
108887.29833462075,9.183807618469029,0.0,9.183807618469029,0.0
109112.70166537925,9.164835850795301,0.0,9.164835850795301,0.0
109500.0,9.132420091324201,0.0,9.132420091324201,0.0
109887.29833462075,9.10023283086707,0.0,9.10023283086707,0.0
110112.70166537925,9.081604436869538,0.0,9.081604436869538,0.0
110500.0,9.049773755656108,0.0,9.049773755656108,0.0
110887.29833462075,9.01816542578515,0.0,9.01816542578515,0.0
111112.70166537925,8.999871166948525,0.0,8.999871166948525,0.0
111500.0,8.968609865470851,0.0,8.968609865470851,0.0
111887.29833462075,8.937564986235571,0.0,8.937564986235571,0.0
112112.70166537925,8.919595952514657,0.0,8.919595952514657,0.0
112500.0,8.88888888888889,0.0,8.88888888888889,0.0
112887.29833462075,8.858392527348808,0.0,8.858392527348808,0.0
113112.70166537925,8.840740122698996,0.0,8.840740122698996,0.0
113500.0,8.810572687224669,0.0,8.810572687224669,0.0
113887.29833462075,8.780610433499138,0.0,8.780610433499138,0.0
114112.70166537925,8.763266362165105,0.0,8.763266362165105,0.0
114500.0,8.733624454148472,0.0,8.733624454148472,0.0
114887.29833462075,8.704182398713911,0.0,8.704182398713911,0.0
115112.70166537925,8.68713865223055,0.0,8.68713865223055,0.0
115500.0,8.658008658008658,0.0,8.658008658008658,0.0
115887.29833462075,8.629073370168083,0.0,8.629073370168083,0.0
116112.70166537925,8.61232221503089,0.0,8.61232221503089,0.0
116500.0,8.583690987124463,0.0,8.583690987124463,0.0
116887.29833462075,8.555249494579266,0.0,8.555249494579266,0.0
